"Feature","PredictivePowerPercentage","PredictivePower"
"Contract",46,"Medium"
"Tenure",36,"Medium"
"MonthlyCharges",25,"Low"
"PaymentMethod",24,"Low"
"TotalCharges",22,"Low"
"InternetService",21,"Low"
"PaperlessBilling",21,"Low"
"OnlineSecurity",18,"Low"
"Partner",17,"Low"
"Dependents",17,"Low"
"TechSupport",17,"Low"
"SeniorCitizen",13,"Low"
"OnlineBackup",9,"Low"
"DeviceProtection",7,"Low"
"StreamingTV",7,"Low"
"StreamingMovies",7,"Low"
"MultipleLines",4,"Low"
"Gender",1,"Low"
"PhoneService",1,"Low"
