"","Entropy","Mutual information","Information gain","Gain ratio","Information value"
"Contract",0.0738266830725962,0.183225806451613,0.1825987988181,1,1
"TotalCharges",1,1,1,0.624842714995441,0.0315806022738082
"InternetService",0.0870100193355598,0.103225806451613,0.102991336247458,0.531321663655351,0.498760141304203
"PaymentMethod",0.127438917208648,0.0825806451612903,0.0825803628247885,0.329865978321406,0.369383672267844
"PaperlessBilling",0.0429776762172614,0.0361290322580645,0.0355032303975109,0.287196139579542,0.163594882025651
"OnlineSecurity",0.0336614519247671,0.0296774193548387,0.029497325722056,0.269284700527532,0.139102719484814
"MonthlyCharges",0.820003515556337,0.323870967741935,0.323349083096514,0.253535734340527,0.652601695760499
"TechSupport",0.0341887853752856,0.0270967741935484,0.0271221345817989,0.246284516035946,0.127333748544062
"SeniorCitizen",0.0145895587976797,0.0193548387096774,0.0195278965049591,0.240947004524424,0.0849357303360348
"Dependents",0.035155563367903,0.0270967741935484,0.026481841546903,0.237570866242985,0.123939532004685
"Tenure",0.469502548778344,0.147096774193548,0.14681806210548,0.195347567735772,0.748292705521907
"Partner",0.0460537880119529,0.0206451612903226,0.0211102837245419,0.166646461790748,0.0953128173022034
"OnlineBackup",0.040956231323607,0.00645161290322581,0.00637735496143166,0.0541611340944254,0.0288754901647749
"DeviceProtection",0.0410441202320267,0.00387096774193548,0.00408035825646473,0.0347030796669008,0.0184181489202159
"StreamingTV",0.0439444542098787,0.00387096774193548,0.00362066401830284,0.0297345975261585,0.0161171764118656
"StreamingMovies",0.0441202320267182,0.00387096774193548,0.0033489229849731,0.0274272441333572,0.0149113845628004
"MultipleLines",0.0459658991035331,0.00129032258064516,0.00141715296829443,0.0113877484270771,0.00632153481541022
"PhoneService",0,0,6.07258973178436e-05,0.00167744195615379,0.000274796787015216
"Gender",0.0475478994550888,0,0,0,0
