"Var","Score"
"Gender",7.30109278415103e-05
"SeniorCitizen",0.022662608763502
"Partner",0.0224945780126991
"Dependents",0.0266108877372377
"Tenure",0.125350948575206
"PhoneService",0.000136688807430299
"MultipleLines",0.00160262026170221
"InternetService",0.10362565618684
"OnlineSecurity",0.0293333867071698
"OnlineBackup",0.00677443710729306
"DeviceProtection",0.00438144928591622
"TechSupport",0.0271313304616289
"StreamingTV",0.00400106602065387
"StreamingMovies",0.00370393189287047
"Contract",0.167739736736916
"PaperlessBilling",0.0366547570602114
"PaymentMethod",0.0917846843178999
"MonthlyCharges",0.0371942924314528
"TotalCharges",0.0397938995967908
